epoch,loss,calssify loss,"regression 
loss z","regression 
loss h","regression 
loss w","regression 
loss d","true 
positive","total
positive","true 
negative","total 
negative",time,,"false 
negative","false 
positive",,Accuracy,"True Positive Rate
(Sensitivity)","True Negative Rate
(Specificity)","False Negative 
Rate","False Positive 
Rate","Positive 
Predictive
Value","Negative 
Predictive
Value",F1,
178,0.0168 ,0.0046 ,0.0029 ,0.0026 ,0.0031 ,0.0035 ,1465,1505,5990,6020,996.09 ,,40,30,,0.9907 ,0.9734 ,0.9950 ,0.0266 ,0.0050 ,0.9799 ,0.9934 ,0.9767 ,
179,0.0157 ,0.0044 ,0.0027 ,0.0024 ,0.0030 ,0.0033 ,1460,1505,5992,6020,996.19 ,,45,28,,0.9903 ,0.9701 ,0.9953 ,0.0299 ,0.0047 ,0.9812 ,0.9925 ,0.9756 ,
180,0.0159 ,0.0041 ,0.0029 ,0.0023 ,0.0031 ,0.0035 ,1460,1505,5994,6020,995.32 ,,45,26,,0.9906 ,0.9701 ,0.9957 ,0.0299 ,0.0043 ,0.9825 ,0.9925 ,0.9763 ,
181,0.0162 ,0.0047 ,0.0027 ,0.0026 ,0.0031 ,0.0032 ,1463,1505,5984,6020,995.61 ,,42,36,,0.9896 ,0.9721 ,0.9940 ,0.0279 ,0.0060 ,0.9760 ,0.9930 ,0.9740 ,
182,0.0159 ,0.0043 ,0.0026 ,0.0027 ,0.0031 ,0.0032 ,1461,1505,5986,6020,995.73 ,,44,34,,0.9896 ,0.9708 ,0.9944 ,0.0292 ,0.0056 ,0.9773 ,0.9927 ,0.9740 ,
183,0.0164 ,0.0047 ,0.0026 ,0.0026 ,0.0031 ,0.0033 ,1469,1505,5985,6020,996.04 ,,36,35,,0.9906 ,0.9761 ,0.9942 ,0.0239 ,0.0058 ,0.9767 ,0.9940 ,0.9764 ,
184,0.0166 ,0.0047 ,0.0028 ,0.0025 ,0.0032 ,0.0034 ,1454,1505,5985,6020,996.41 ,,51,35,,0.9886 ,0.9661 ,0.9942 ,0.0339 ,0.0058 ,0.9765 ,0.9916 ,0.9713 ,
185,0.0158 ,0.0043 ,0.0027 ,0.0025 ,0.0031 ,0.0032 ,1459,1505,5993,6020,996.13 ,,46,27,,0.9903 ,0.9694 ,0.9955 ,0.0306 ,0.0045 ,0.9818 ,0.9924 ,0.9756 ,
186,0.0157 ,0.0046 ,0.0025 ,0.0024 ,0.0028 ,0.0033 ,1466,1505,5989,6020,996.05 ,,39,31,,0.9907 ,0.9741 ,0.9949 ,0.0259 ,0.0051 ,0.9793 ,0.9935 ,0.9767 ,
187,0.0157 ,0.0049 ,0.0025 ,0.0023 ,0.0029 ,0.0031 ,1449,1505,5988,6020,995.34 ,,56,32,,0.9883 ,0.9628 ,0.9947 ,0.0372 ,0.0053 ,0.9784 ,0.9907 ,0.9705 ,
188,0.0162 ,0.0046 ,0.0026 ,0.0026 ,0.0032 ,0.0032 ,1457,1505,5975,6020,995.84 ,,48,45,,0.9876 ,0.9681 ,0.9925 ,0.0319 ,0.0075 ,0.9700 ,0.9920 ,0.9691 ,
189,0.0160 ,0.0048 ,0.0028 ,0.0024 ,0.0029 ,0.0031 ,1453,1505,5986,6020,996.09 ,,52,34,,0.9886 ,0.9654 ,0.9944 ,0.0346 ,0.0056 ,0.9771 ,0.9914 ,0.9713 ,
190,0.0160 ,0.0045 ,0.0026 ,0.0025 ,0.0031 ,0.0033 ,1458,1505,5989,6020,995.93 ,,47,31,,0.9896 ,0.9688 ,0.9949 ,0.0312 ,0.0051 ,0.9792 ,0.9922 ,0.9739 ,
191,0.0163 ,0.0048 ,0.0028 ,0.0024 ,0.0030 ,0.0033 ,1460,1505,5981,6020,996.19 ,,45,39,,0.9888 ,0.9701 ,0.9935 ,0.0299 ,0.0065 ,0.9740 ,0.9925 ,0.9720 ,
192,0.0159 ,0.0044 ,0.0027 ,0.0026 ,0.0032 ,0.0031 ,1459,1505,5983,6020,995.77 ,,46,37,,0.9890 ,0.9694 ,0.9939 ,0.0306 ,0.0061 ,0.9753 ,0.9924 ,0.9723 ,
193,0.0158 ,0.0043 ,0.0028 ,0.0023 ,0.0031 ,0.0033 ,1450,1505,5990,6020,995.73 ,,55,30,,0.9887 ,0.9635 ,0.9950 ,0.0365 ,0.0050 ,0.9797 ,0.9909 ,0.9715 ,
194,0.0157 ,0.0043 ,0.0026 ,0.0025 ,0.0031 ,0.0032 ,1466,1505,5993,6020,995.48 ,,39,27,,0.9912 ,0.9741 ,0.9955 ,0.0259 ,0.0045 ,0.9819 ,0.9935 ,0.9780 ,
195,0.0160 ,0.0049 ,0.0025 ,0.0024 ,0.0029 ,0.0032 ,1457,1505,5985,6020,995.59 ,,48,35,,0.9890 ,0.9681 ,0.9942 ,0.0319 ,0.0058 ,0.9765 ,0.9920 ,0.9723 ,
196,0.0150 ,0.0038 ,0.0026 ,0.0026 ,0.0028 ,0.0032 ,1472,1505,5994,6020,995.98 ,,33,26,,0.9922 ,0.9781 ,0.9957 ,0.0219 ,0.0043 ,0.9826 ,0.9945 ,0.9804 ,
197,0.0161 ,0.0044 ,0.0027 ,0.0027 ,0.0031 ,0.0032 ,1463,1505,5990,6020,996.16 ,,42,30,,0.9904 ,0.9721 ,0.9950 ,0.0279 ,0.0050 ,0.9799 ,0.9930 ,0.9760 ,
198,0.0155 ,0.0042 ,0.0026 ,0.0025 ,0.0030 ,0.0032 ,1467,1505,5995,6020,995.99 ,,38,25,,0.9916 ,0.9748 ,0.9958 ,0.0252 ,0.0042 ,0.9832 ,0.9937 ,0.9790 ,
199,0.0160 ,0.0045 ,0.0027 ,0.0025 ,0.0031 ,0.0032 ,1458,1505,5988,6020,995.57 ,,47,32,,0.9895 ,0.9688 ,0.9947 ,0.0312 ,0.0053 ,0.9785 ,0.9922 ,0.9736 ,
200,0.0158 ,0.0047 ,0.0026 ,0.0025 ,0.0029 ,0.0032 ,1464,1505,5984,6020,996.13 ,,41,36,,0.9898 ,0.9728 ,0.9940 ,0.0272 ,0.0060 ,0.9760 ,0.9932 ,0.9744 ,
,,,,,,,,,,,58.18 ,,,,,,,,,,,,,
